brand,model,product,date,review
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Nov 12, 2021 10:30 PM","I am loyal WD My Passport customer for 10years! Everytime I always install the WD Discovery or similar tool to enable Password/encryption as first step, right out of box - but installation failed 100%. I used the SW that came within the drive, but installation consistently failed. 

Unable to enable encryption due to this! Can't believe the quality of the product going down!"
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Dec 5, 2020 1:40 PM","I got this SSD drive to store video, photos, and converted home movies, as well as to backup my music and movie collection. The first thing I noticed was the small form factor. It is a little larger than the size of a credit card and is about as thick as my iphone.

I tested the speed of coping a movie that was about 2GB in size. Initially, I tried copying it from my Chromebook and was very disappointed in the transfer speeds. It took almost 3 minutes to transfer the file. This SSD is supposed to be able to transfer about 1GB/sec (theoretical speeds and I would have been happy with anything under 10 seconds).

Since this device didn't say it supported Chromebooks and specifically discusses Windows and Mac, I decided to give it a try on my WIndows laptop. It transferred the file in under 4 seconds, which is what I was expecting. I used the USB-C connector for both transfers, though it does come with an add-on adapter for standard USB.

If you are going to use this on a Chromebook, your mileage may vary, but I was seeing very slow transfers. If you have a Windows 10 device, it will do a great job of transferring your large files very quickly. It has 930GB capacity with only two small files on it by default.

Overall, this is a nice compact SSD with fast transfer times for those large video files. Perfect for what I was looking for."
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Nov 20, 2020 2:10 AM","Since my MacBook was about to out of space, I decided to get this SSD, and this thing went beyond my expectation! Fast and reliably secured. I'd love to give credit for its compactness, which helps a lot for any minimalist who doesn't like carrying too much around."
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Oct 6, 2023 4:15 PM",Love this product! It is lightening speed and so worth it. I use it for Davinci Resolve when editing videos!
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Apr 17, 2024 11:37 PM",Excellent purchase. Lots and lots of memories inside
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Jan 5, 2024 6:20 PM",Been using it for several months. No corrupted data and no problems. Running it off a USB hub with a short adaptor cable.
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Jan 8, 2024 6:05 PM","easy setup, very easy to use, can't believe how many pictures it holds"
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Dec 2, 2020 12:06 PM","Bought this for my Xbox Series X to store Xbox One games on. Pretty fast drive and small enough to hide, can't even see it sitting behind my console."
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Jan 11, 2023 9:52 PM",Perfect for keeping a backup of important files on a regular basis. This is so easy to use. It holds 1 TB !
WD,WDBAGF0010BBL-WESN,WD - My Passport 1TB External USB Type-C Portable SSD - Blue,"Dec 6, 2020 5:02 AM","Need to backup data fast, and make it discrete. This is the drive you need. This USB Type-C (with a Type-A adaptor) is one fast SSD drive. The Hollywood televised drama of covert copy fiend could use one of these, there be no suspense as this thing writes data extremely fast. 

Copying 1GB files takes a matter of seconds via USB Type-C, and a little longer with USB Type-A 3.0, and a lot longer with a USB 2.0 connection. Using Crystal DiskMark, a 1GB file averaged about 939 MB/s, and 950MB/s for sequential read and write respectively. Even the random 4K reads and writes are not bad, with it averaging 35MB/s read and 49MB/s write. Larger files (5GB+) do slow down a bit over time, but still not bad. The slow down is inherent to all drives, but dramless drives are more susceptible to such things. This drive does not seem to suffer as bad, and I am not sure how much cache buffer it has to help speed up the write speeds but it works rather well with large files. 

The one big concern I have for this drive is heat. The fancy outer blue shell is made of plastic and thermal heat generated from the drive just plugged in and idling is a concern. Intensive read/write operations make the drive significantly warmer than normal. We all know that heat is a detriment to electronics and to memory chips. The device retains quite a bit of heat, and the heat generated is not just warm, I’d characterize it as hot to touch when doing intense operations. 

This would NOT be a drive to keep plugged in for a long time, but definitely, a backup drive to move large amounts of data quickly for backup. Something like this is perfect for traveling. It’s going to find a permanent home in my photo gear bag, for when I travel. This has plenty of space to backup my photos off my camera before the next day’s shoot. 

The drive comes with a software called “WD Discovery”, which allows for firmware as well as an encryption of the data on the drive. This is optional, but useful for someone who may want to store confidential data on an AES 256-bit encrypted drive. 

If you are looking for a fast, discrete, light, and reasonably reliable hard drive for quick backups at home or on the road, this drive is the key. So long USB flash drives, this one is a keeper. 

Pros
* Fast reads and writes in USB Type-C and slightly slower using USB-A 3.0. 
* Simple, light, easy to use, and carry 1TB hard drive. 

Cons:
* Won’t work as an OTG Drive on a USB Type-C phone to directly output photos from your mobile device (it may require some software/app but that is not readily evident)
* Heats up, and slows down on large transfers (issue with almost all SSDs as the buffer fills up), but not as bad as a USB Flash drive. Thermal would have been better if it was made of metal."
